escola,area,categoria,acerto_pct,n_resp,acerto_cop30
Marista Belém,CH,Difícil,54.2,1100,31.9
Marista Belém,CH,Fácil,82.5,1200,53.1
Marista Belém,CH,Muito difícil,38.2,1100,21.7
Marista Belém,CH,Médio,68.5,1100,37.7
Marista Belém,CN,Difícil,40.9,1067,26.0
Marista Belém,CN,Fácil,72.4,1164,54.3
Marista Belém,CN,Muito difícil,35.2,1067,16.7
Marista Belém,CN,Médio,45.0,1067,30.1
Marista Belém,LC,Difícil,66.7,1192,40.6
Marista Belém,LC,Fácil,81.5,1104,57.7
Marista Belém,LC,Muito difícil,42.7,1196,26.3
Marista Belém,LC,Médio,70.0,1008,43.7
Marista Belém,MT,Difícil,41.3,1067,22.8
Marista Belém,MT,Fácil,64.6,1164,38.2
Marista Belém,MT,Muito difícil,36.2,1067,17.1
Marista Belém,MT,Médio,52.7,1067,28.5
