escola,area,faixa_disc,acerto_pct,n_resp,acerto_cop30
Marista Belém,CH,"alta (1,35–1,69)",67.2,600,45.5
Marista Belém,CH,"baixa/moderada (A<1,35)",71.5,200,38.9
Marista Belém,CH,"muito alta (A≥1,70)",59.8,3700,34.9
Marista Belém,CN,"alta (1,35–1,69)",54.0,582,36.5
Marista Belém,CN,"baixa/moderada (A<1,35)",77.1,388,57.0
Marista Belém,CN,"muito alta (A≥1,70)",44.8,3395,28.7
Marista Belém,LC,"alta (1,35–1,69)",65.7,912,46.3
Marista Belém,LC,"baixa/moderada (A<1,35)",69.6,500,47.9
Marista Belém,LC,"muito alta (A≥1,70)",63.6,3088,39.6
Marista Belém,MT,"alta (1,35–1,69)",52.2,776,34.5
Marista Belém,MT,"baixa/moderada (A<1,35)",60.7,776,31.0
Marista Belém,MT,"muito alta (A≥1,70)",45.0,2813,23.7
