escola,area,habilidade,erro_pct,n_resp,erro_cop30
Marista Belém,CH,H1,68.0,200,80.9
Marista Belém,CH,H10,31.0,100,50.2
Marista Belém,CH,H11,24.0,200,60.1
Marista Belém,CH,H12,15.0,100,54.6
Marista Belém,CH,H13,13.0,100,41.9
Marista Belém,CH,H14,24.0,100,55.3
Marista Belém,CH,H15,40.5,200,73.5
Marista Belém,CH,H16,36.5,200,67.1
Marista Belém,CH,H17,51.0,100,75.8
Marista Belém,CH,H18,20.0,100,60.4
Marista Belém,CH,H19,67.0,200,81.9
Marista Belém,CH,H2,18.5,200,48.7
Marista Belém,CH,H20,27.0,100,65.0
Marista Belém,CH,H21,23.0,100,56.8
Marista Belém,CH,H22,85.0,100,76.3
Marista Belém,CH,H23,57.0,200,71.7
Marista Belém,CH,H24,19.0,100,53.4
Marista Belém,CH,H25,64.0,100,70.0
Marista Belém,CH,H26,19.0,200,48.5
Marista Belém,CH,H27,49.0,100,74.3
Marista Belém,CH,H28,26.3,300,57.8
Marista Belém,CH,H3,47.8,400,68.5
Marista Belém,CH,H30,19.0,200,45.4
Marista Belém,CH,H4,69.0,100,84.2
Marista Belém,CH,H5,51.0,100,75.2
Marista Belém,CH,H6,16.0,100,39.6
Marista Belém,CH,H7,53.7,300,70.5
Marista Belém,CH,H8,42.0,100,67.5
Marista Belém,CH,H9,11.0,100,44.1
Marista Belém,CN,H1,19.6,97,41.1
Marista Belém,CN,H10,55.7,194,78.6
Marista Belém,CN,H11,59.8,194,68.2
Marista Belém,CN,H12,36.1,97,71.0
Marista Belém,CN,H14,57.7,291,77.2
Marista Belém,CN,H15,64.9,194,84.1
Marista Belém,CN,H16,33.7,291,59.1
Marista Belém,CN,H17,56.2,194,68.4
Marista Belém,CN,H18,58.8,194,75.3
Marista Belém,CN,H19,29.9,97,58.2
Marista Belém,CN,H2,66.0,194,80.1
Marista Belém,CN,H20,68.0,97,79.1
Marista Belém,CN,H21,48.5,97,68.9
Marista Belém,CN,H22,23.7,97,53.3
Marista Belém,CN,H23,67.0,97,79.6
Marista Belém,CN,H24,62.9,97,79.0
Marista Belém,CN,H25,70.6,194,79.2
Marista Belém,CN,H26,73.2,97,77.5
Marista Belém,CN,H27,66.0,97,77.0
Marista Belém,CN,H28,49.5,97,81.8
Marista Belém,CN,H29,66.0,97,65.8
Marista Belém,CN,H3,23.7,194,40.8
Marista Belém,CN,H30,10.8,194,26.8
Marista Belém,CN,H4,20.1,194,42.9
Marista Belém,CN,H5,89.7,97,88.8
Marista Belém,CN,H6,51.5,97,74.3
Marista Belém,CN,H7,35.1,97,59.2
Marista Belém,CN,H8,66.5,194,75.8
Marista Belém,CN,H9,66.0,194,72.5
Marista Belém,LC,H1,27.0,200,49.8
Marista Belém,LC,H11,51.5,200,57.7
Marista Belém,LC,H12,61.5,200,74.5
Marista Belém,LC,H13,67.0,100,60.4
Marista Belém,LC,H14,32.0,100,68.1
Marista Belém,LC,H15,40.0,200,57.4
Marista Belém,LC,H16,49.5,200,69.0
Marista Belém,LC,H17,52.3,300,68.7
Marista Belém,LC,H18,38.0,300,56.4
Marista Belém,LC,H19,29.0,100,62.8
Marista Belém,LC,H2,16.0,100,27.1
Marista Belém,LC,H20,17.5,200,43.5
Marista Belém,LC,H21,41.0,100,66.1
Marista Belém,LC,H22,14.0,100,46.8
Marista Belém,LC,H23,36.0,100,63.4
Marista Belém,LC,H24,32.5,200,59.4
Marista Belém,LC,H25,57.0,100,77.5
Marista Belém,LC,H26,23.0,100,59.9
Marista Belém,LC,H27,77.0,100,87.7
Marista Belém,LC,H28,35.0,200,58.4
Marista Belém,LC,H29,18.0,100,49.0
Marista Belém,LC,H3,33.0,200,60.8
Marista Belém,LC,H30,25.5,200,59.8
Marista Belém,LC,H4,26.0,100,50.1
Marista Belém,LC,H5,17.0,100,44.2
Marista Belém,LC,H6,20.2,104,55.0
Marista Belém,LC,H7,25.5,196,58.5
Marista Belém,LC,H8,14.0,100,46.8
Marista Belém,LC,H9,16.5,200,36.4
Marista Belém,MT,H1,33.0,194,64.9
Marista Belém,MT,H10,20.1,194,58.1
Marista Belém,MT,H11,57.7,97,72.4
Marista Belém,MT,H12,71.1,194,77.8
Marista Belém,MT,H13,60.8,194,73.7
Marista Belém,MT,H14,25.8,97,68.6
Marista Belém,MT,H15,38.1,97,72.7
Marista Belém,MT,H16,27.8,97,66.8
Marista Belém,MT,H17,42.8,194,72.4
Marista Belém,MT,H18,50.0,194,74.8
Marista Belém,MT,H19,66.5,194,83.2
Marista Belém,MT,H2,62.9,97,69.9
Marista Belém,MT,H20,14.4,97,48.4
Marista Belém,MT,H21,72.2,97,78.1
Marista Belém,MT,H22,48.5,97,77.3
Marista Belém,MT,H23,59.3,194,70.8
Marista Belém,MT,H24,52.6,194,78.4
Marista Belém,MT,H25,44.3,194,70.8
Marista Belém,MT,H26,39.2,194,71.3
Marista Belém,MT,H27,13.4,97,66.2
Marista Belém,MT,H28,68.6,194,86.1
Marista Belém,MT,H29,42.8,194,70.5
Marista Belém,MT,H3,53.6,97,71.2
Marista Belém,MT,H30,76.3,97,82.5
Marista Belém,MT,H4,69.6,194,77.9
Marista Belém,MT,H5,35.1,97,68.6
Marista Belém,MT,H6,36.1,97,63.3
Marista Belém,MT,H7,88.7,97,90.8
Marista Belém,MT,H8,71.6,194,78.8
Marista Belém,MT,H9,57.7,97,73.5
