co_item,area,dif_xtri,categoria
152699,CH,78.0,Difícil
141055,CH,86.6,Muito difícil
97839,CH,87.0,Muito difícil
125874,CH,81.1,Difícil
140220,CH,74.1,Médio
140800,CH,73.3,Médio
125802,CH,61.9,Fácil
111855,CH,81.0,Difícil
140651,CH,77.7,Difícil
125919,CH,72.2,Médio
111849,CH,81.5,Difícil
81812,CH,85.6,Muito difícil
140742,CH,75.4,Médio
118136,CH,75.7,Médio
125810,CH,41.4,Fácil
140781,CH,51.0,Fácil
141077,CH,77.1,Difícil
49056,CH,78.5,Difícil
125726,CH,39.1,Fácil
149796,CH,72.4,Médio
141054,CH,76.1,Médio
149812,CH,91.0,Muito difícil
140530,CH,79.8,Difícil
141063,CH,74.0,Médio
111928,CH,80.8,Difícil
141309,CH,61.9,Fácil
149797,CH,52.8,Fácil
89619,CH,74.1,Médio
96637,CH,71.1,Médio
118017,CH,59.2,Fácil
95761,CH,83.1,Muito difícil
140537,CH,87.0,Muito difícil
149864,CH,65.6,Fácil
125755,CH,53.8,Fácil
149818,CH,83.3,Muito difícil
141344,CH,63.6,Fácil
49029,CH,65.5,Fácil
89670,CH,78.5,Difícil
84835,CH,77.5,Difícil
140421,CH,74.6,Médio
111818,CH,93.1,Muito difícil
140474,CH,61.8,Fácil
141145,CH,86.4,Muito difícil
49756,CH,87.1,Muito difícil
140817,CH,83.9,Muito difícil
117855,CN,70.4,Médio
7735,CN,83.7,Muito difícil
141660,CN,76.9,Médio
141750,CN,77.2,Médio
87166,CN,32.3,Fácil
87024,CN,11.0,Fácil
84034,CN,77.7,Difícil
86797,CN,33.5,Fácil
86095,CN,81.1,Difícil
87797,CN,78.7,Difícil
88961,CN,83.9,Muito difícil
141596,CN,82.7,Difícil
141800,CN,69.6,Fácil
141767,CN,90.4,Muito difícil
141636,CN,91.0,Muito difícil
67396,CN,88.7,Muito difícil
97941,CN,83.1,Difícil
97184,CN,74.5,Médio
126526,CN,72.3,Médio
141618,CN,75.1,Médio
77081,CN,89.7,Muito difícil
63587,CN,70.5,Médio
111420,CN,95.8,Muito difícil
17373,CN,61.0,Fácil
48172,CN,82.5,Difícil
96196,CN,80.2,Difícil
117699,CN,69.3,Fácil
55380,CN,77.5,Médio
141682,CN,77.1,Médio
126525,CN,85.8,Muito difícil
85515,CN,86.2,Muito difícil
141549,CN,93.9,Muito difícil
141593,CN,80.5,Difícil
141785,CN,80.6,Difícil
85263,CN,82.1,Difícil
86685,CN,77.0,Médio
54287,CN,82.2,Difícil
82369,CN,67.6,Fácil
117763,CN,61.3,Fácil
117862,CN,51.7,Fácil
111572,CN,23.4,Fácil
89102,CN,4.8,Fácil
66467,CN,76.3,Médio
84315,CN,86.6,Muito difícil
111421,CN,46.1,Fácil
98252,LC,82.8,Muito difícil
140610,LC,77.0,Difícil
158577,LC,73.3,Difícil
158719,LC,65.9,Médio
54258,LC,60.9,Fácil
158743,LC,61.7,Fácil
15029,LC,70.0,Médio
111891,LC,72.3,Difícil
118111,LC,61.0,Fácil
158555,LC,76.9,Difícil
157772,LC,78.4,Muito difícil
157788,LC,70.0,Médio
157760,LC,80.9,Muito difícil
157752,LC,69.5,Médio
157769,LC,74.7,Difícil
158673,LC,87.6,Muito difícil
157675,LC,69.6,Médio
158791,LC,48.5,Fácil
158721,LC,60.0,Fácil
150673,LC,74.0,Difícil
158754,LC,74.9,Difícil
158649,LC,71.8,Difícil
150672,LC,21.1,Fácil
157662,LC,71.7,Médio
150423,LC,71.2,Médio
158749,LC,58.2,Fácil
150560,LC,54.7,Fácil
153391,LC,81.8,Muito difícil
150644,LC,80.0,Muito difícil
158638,LC,70.8,Médio
158760,LC,82.1,Muito difícil
157597,LC,80.5,Muito difícil
20061,LC,76.5,Difícil
157600,LC,23.3,Fácil
157632,LC,81.7,Muito difícil
150671,LC,72.0,Difícil
153402,LC,80.2,Muito difícil
150584,LC,49.4,Fácil
157652,LC,68.3,Médio
153609,LC,71.8,Difícil
157606,LC,80.9,Muito difícil
150590,LC,71.4,Médio
150720,LC,51.6,Fácil
140956,LC,52.2,Fácil
120680,LC,77.8,Muito difícil
150670,LC,76.5,Difícil
158650,LC,64.3,Médio
157657,LC,25.4,Fácil
118287,LC,75.6,Difícil
150800,LC,68.8,Médio
125891,MT,18.4,Fácil
86650,MT,82.6,Médio
81495,MT,40.6,Fácil
45267,MT,90.0,Muito difícil
141538,MT,49.1,Fácil
83535,MT,78.5,Médio
85033,MT,84.1,Difícil
89828,MT,84.9,Difícil
141573,MT,61.5,Fácil
5774,MT,75.3,Médio
117857,MT,78.1,Médio
96738,MT,83.3,Difícil
63710,MT,82.7,Difícil
54298,MT,75.1,Fácil
118001,MT,75.8,Médio
88838,MT,85.1,Difícil
117847,MT,80.0,Médio
117715,MT,93.9,Muito difícil
117605,MT,84.0,Difícil
22140,MT,91.3,Muito difícil
117632,MT,84.1,Difícil
24900,MT,73.3,Fácil
117609,MT,70.0,Fácil
153150,MT,94.4,Muito difícil
82079,MT,94.5,Muito difícil
5827,MT,87.7,Muito difícil
153126,MT,77.9,Médio
125894,MT,93.8,Muito difícil
153161,MT,70.4,Fácil
125945,MT,70.2,Fácil
125899,MT,77.4,Médio
88553,MT,90.3,Muito difícil
43202,MT,83.5,Difícil
97658,MT,89.5,Muito difícil
125968,MT,73.7,Fácil
117744,MT,84.3,Difícil
111723,MT,87.3,Difícil
54299,MT,85.7,Difícil
97571,MT,76.8,Médio
16537,MT,90.8,Muito difícil
126016,MT,87.6,Muito difícil
125903,MT,82.5,Médio
43320,MT,74.5,Fácil
125878,MT,82.4,Médio
126029,MT,69.4,Fácil
