escola,area,habilidade,erro_pct,n_resp,erro_nacional
Marista Natal,CH,H1,42.1,342,69.8
Marista Natal,CH,H10,80.7,171,73.1
Marista Natal,CH,H11,34.8,342,73.0
Marista Natal,CH,H12,74.0,342,77.3
Marista Natal,CH,H13,64.3,171,80.6
Marista Natal,CH,H14,28.1,171,53.9
Marista Natal,CH,H15,10.5,171,41.6
Marista Natal,CH,H16,24.6,171,67.5
Marista Natal,CH,H17,43.9,171,58.6
Marista Natal,CH,H18,38.6,171,56.7
Marista Natal,CH,H19,20.5,342,56.4
Marista Natal,CH,H2,43.3,171,75.3
Marista Natal,CH,H20,8.8,171,51.0
Marista Natal,CH,H21,56.4,342,73.5
Marista Natal,CH,H22,47.4,342,66.3
Marista Natal,CH,H23,35.5,513,57.1
Marista Natal,CH,H24,52.0,342,63.7
Marista Natal,CH,H25,42.4,342,68.3
Marista Natal,CH,H26,36.5,342,60.5
Marista Natal,CH,H27,26.0,342,60.4
Marista Natal,CH,H28,17.0,342,45.2
Marista Natal,CH,H29,41.5,171,64.3
Marista Natal,CH,H3,17.5,171,51.4
Marista Natal,CH,H30,29.2,171,64.9
Marista Natal,CH,H4,36.3,342,65.1
Marista Natal,CH,H5,10.5,171,42.5
Marista Natal,CH,H6,12.9,171,56.5
Marista Natal,CH,H7,53.8,342,67.6
Marista Natal,CH,H8,11.7,171,49.6
Marista Natal,CH,H9,38.6,171,60.7
Marista Natal,CN,H1,42.7,342,70.4
Marista Natal,CN,H10,5.8,171,28.6
Marista Natal,CN,H11,28.1,171,61.2
Marista Natal,CN,H12,44.4,171,69.1
Marista Natal,CN,H13,14.6,171,56.2
Marista Natal,CN,H14,53.8,171,69.8
Marista Natal,CN,H15,52.0,171,53.4
Marista Natal,CN,H16,22.2,171,32.9
Marista Natal,CN,H17,49.1,342,67.5
Marista Natal,CN,H18,58.5,171,74.9
Marista Natal,CN,H19,38.0,171,80.0
Marista Natal,CN,H2,63.2,171,68.3
Marista Natal,CN,H20,70.2,342,82.9
Marista Natal,CN,H21,41.2,342,60.6
Marista Natal,CN,H22,42.7,342,59.9
Marista Natal,CN,H23,54.7,342,71.8
Marista Natal,CN,H24,50.9,342,73.4
Marista Natal,CN,H25,19.9,171,40.1
Marista Natal,CN,H26,80.7,171,88.2
Marista Natal,CN,H27,31.0,171,65.2
Marista Natal,CN,H28,34.3,513,63.6
Marista Natal,CN,H29,9.4,171,52.7
Marista Natal,CN,H3,61.4,342,75.8
Marista Natal,CN,H30,33.9,171,43.9
Marista Natal,CN,H4,9.9,171,37.4
Marista Natal,CN,H5,62.6,342,79.5
Marista Natal,CN,H6,74.3,171,71.1
Marista Natal,CN,H7,55.0,342,77.3
Marista Natal,CN,H8,19.3,171,73.4
Marista Natal,CN,H9,61.4,171,83.4
Marista Natal,LC,H1,19.9,171,53.5
Marista Natal,LC,H10,4.7,171,21.9
Marista Natal,LC,H11,12.3,171,35.6
Marista Natal,LC,H12,20.5,342,48.5
Marista Natal,LC,H13,19.3,171,51.8
Marista Natal,LC,H14,41.5,171,68.4
Marista Natal,LC,H15,43.9,342,57.5
Marista Natal,LC,H16,42.1,342,57.9
Marista Natal,LC,H17,37.4,342,61.5
Marista Natal,LC,H18,39.2,342,68.0
Marista Natal,LC,H19,34.5,171,63.9
Marista Natal,LC,H2,19.0,342,40.6
Marista Natal,LC,H20,48.5,342,65.8
Marista Natal,LC,H21,38.6,171,45.7
Marista Natal,LC,H22,33.9,342,60.7
Marista Natal,LC,H23,43.9,171,52.8
Marista Natal,LC,H24,31.6,342,53.5
Marista Natal,LC,H25,28.1,171,55.9
Marista Natal,LC,H26,10.5,342,38.3
Marista Natal,LC,H27,13.5,171,66.6
Marista Natal,LC,H28,45.0,171,45.0
Marista Natal,LC,H29,58.5,342,78.3
Marista Natal,LC,H3,36.3,171,56.1
Marista Natal,LC,H30,25.7,342,53.7
Marista Natal,LC,H4,16.1,342,47.2
Marista Natal,LC,H5,16.4,171,48.2
Marista Natal,LC,H6,14.2,338,37.5
Marista Natal,LC,H7,11.2,338,44.5
Marista Natal,LC,H9,1.8,342,26.5
Marista Natal,MT,H1,3.5,171,38.5
Marista Natal,MT,H10,4.1,171,54.7
Marista Natal,MT,H11,19.0,342,68.8
Marista Natal,MT,H12,36.5,342,62.4
Marista Natal,MT,H13,34.5,171,76.8
Marista Natal,MT,H14,35.7,171,66.2
Marista Natal,MT,H15,45.0,171,82.1
Marista Natal,MT,H16,15.5,342,60.1
Marista Natal,MT,H17,22.2,171,50.4
Marista Natal,MT,H18,60.2,342,79.2
Marista Natal,MT,H19,44.7,342,71.6
Marista Natal,MT,H2,55.6,342,78.0
Marista Natal,MT,H20,9.9,171,36.4
Marista Natal,MT,H22,68.4,171,80.6
Marista Natal,MT,H23,55.6,171,74.8
Marista Natal,MT,H24,8.8,171,60.9
Marista Natal,MT,H25,21.9,342,56.0
Marista Natal,MT,H26,15.8,171,65.0
Marista Natal,MT,H27,7.0,171,58.4
Marista Natal,MT,H28,42.4,342,79.9
Marista Natal,MT,H29,48.0,342,78.2
Marista Natal,MT,H3,47.7,342,66.2
Marista Natal,MT,H30,26.9,171,74.7
Marista Natal,MT,H4,12.0,342,52.6
Marista Natal,MT,H5,36.3,171,65.6
Marista Natal,MT,H6,36.0,342,69.2
Marista Natal,MT,H7,58.5,171,80.7
Marista Natal,MT,H8,44.2,342,68.8
Marista Natal,MT,H9,59.1,342,75.0
