area,acertos,itens_validos,n,min,p10,mediana,p90,max
LC,0,45,971,0.0,0.0,0.0,314.2,316.5
LC,1,45,244,314.3,314.3,317.7,328.9,370.5
LC,2,45,511,314.3,316.5,324.0,344.8,390.7
LC,3,45,1591,314.4,319.1,332.9,374.8,410.9
LC,4,45,4468,314.6,322.1,340.6,386.4,422.1
LC,5,45,9919,315.0,326.7,352.4,400.0,439.6
LC,6,45,19399,314.9,332.4,363.6,412.0,448.4
LC,7,45,32208,317.4,340.3,377.8,423.5,458.8
LC,8,45,47386,319.4,349.6,393.7,435.6,473.4
LC,9,45,62772,321.9,360.5,411.7,447.5,485.4
LC,10,45,77988,323.3,374.5,428.4,459.1,494.0
LC,11,45,92483,322.1,390.5,443.3,470.0,501.5
LC,12,45,103518,328.5,409.3,457.5,480.6,509.2
LC,13,45,114788,331.6,429.9,470.4,490.4,518.3
LC,14,45,124115,336.5,449.0,481.9,499.7,524.5
LC,15,45,131597,347.3,465.9,492.5,508.2,531.2
LC,16,45,137699,353.8,480.1,502.3,516.6,539.1
LC,17,45,142331,360.5,492.6,511.3,524.4,545.6
LC,18,45,143014,382.0,503.4,519.7,531.9,553.7
LC,19,45,143803,405.3,513.3,527.7,539.1,561.0
LC,20,45,143095,433.7,522.3,535.3,546.2,568.8
LC,21,45,139461,467.9,530.4,542.5,553.1,578.3
LC,22,45,134974,474.1,538.0,549.4,559.9,584.4
LC,23,45,130019,502.4,545.3,556.3,566.7,588.3
LC,24,45,124069,519.5,552.2,562.8,573.2,598.1
LC,25,45,118268,529.6,558.8,569.3,579.8,602.3
LC,26,45,111281,538.7,565.2,575.6,586.1,607.7
LC,27,45,105037,545.7,571.5,581.8,592.4,614.2
LC,28,45,98604,554.2,577.7,588.1,598.8,622.9
LC,29,45,92084,561.8,583.8,594.4,605.0,631.8
LC,30,45,86151,569.6,589.9,600.6,611.4,636.7
LC,31,45,78301,576.4,596.3,607.0,617.9,643.1
LC,32,45,71663,575.7,602.7,613.6,624.7,648.7
LC,33,45,64606,586.6,609.2,620.4,631.6,654.1
LC,34,45,57879,595.7,616.1,627.6,639.0,660.6
LC,35,45,50967,598.1,623.2,635.1,646.9,667.6
LC,36,45,43976,608.1,631.0,643.0,655.2,677.6
LC,37,45,36457,614.6,639.0,651.7,664.4,690.4
LC,38,45,29042,621.9,648.0,661.0,674.2,698.7
LC,39,45,22347,632.4,657.7,671.4,685.5,707.0
LC,40,45,15229,644.8,668.8,683.4,697.5,716.5
LC,41,45,9553,655.3,680.7,697.0,711.0,732.3
LC,42,45,5033,664.0,695.2,713.9,727.3,740.8
LC,43,45,2146,685.0,712.6,731.3,745.5,755.5
LC,44,45,610,716.3,740.6,757.2,765.7,780.9
LC,45,45,85,794.5,794.5,794.5,794.5,794.5
CH,0,45,5806,0.0,0.0,0.0,0.0,325.6
CH,1,45,913,325.6,326.2,329.7,351.5,363.1
CH,2,45,1891,325.6,328.0,334.7,363.2,388.2
CH,3,45,4826,325.7,330.4,343.1,372.4,409.0
CH,4,45,11901,326.1,333.9,357.6,385.0,422.5
CH,5,45,26431,326.2,338.4,367.6,396.7,436.8
CH,6,45,48592,326.7,344.0,376.7,408.2,451.7
CH,7,45,79438,329.1,351.3,387.6,420.2,464.5
CH,8,45,112444,330.5,361.3,400.6,432.9,476.0
CH,9,45,144590,332.0,374.3,414.0,446.1,490.6
CH,10,45,168960,336.2,388.2,428.7,460.0,504.9
CH,11,45,184870,337.0,403.5,444.2,474.6,516.0
CH,12,45,192760,343.3,420.1,460.1,489.1,531.8
CH,13,45,191521,343.0,438.4,476.0,503.5,544.4
CH,14,45,186064,348.1,457.1,491.7,516.9,550.6
CH,15,45,176193,359.4,474.9,506.0,528.9,561.3
CH,16,45,164815,372.0,491.7,519.5,539.9,567.2
CH,17,45,153124,389.4,506.8,531.6,550.0,575.8
CH,18,45,140255,410.9,520.3,542.4,559.1,583.3
CH,19,45,129187,444.8,532.3,552.6,568.0,591.3
CH,20,45,118771,466.3,543.2,561.8,576.3,599.0
CH,21,45,108892,484.6,553.6,570.6,584.3,607.7
CH,22,45,99492,485.2,563.1,579.1,592.1,616.0
CH,23,45,91261,525.1,572.0,587.3,599.8,622.5
CH,24,45,83219,538.4,580.7,595.3,607.6,628.3
CH,25,45,75355,549.2,589.1,603.1,615.2,636.6
CH,26,45,67771,562.3,597.2,610.9,622.7,645.4
CH,27,45,61187,570.9,605.3,618.7,630.6,650.5
CH,28,45,54791,580.5,613.3,626.6,638.3,660.2
CH,29,45,48561,588.5,621.2,634.3,646.3,666.2
CH,30,45,42600,598.9,629.3,642.4,654.6,676.9
CH,31,45,36717,603.4,637.2,650.4,662.9,682.0
CH,32,45,31851,615.6,645.5,659.1,671.5,690.5
CH,33,45,27458,622.5,654.0,667.7,680.4,699.2
CH,34,45,22911,632.5,662.7,676.9,689.6,708.7
CH,35,45,18882,639.5,672.0,686.5,699.1,718.2
CH,36,45,15278,650.5,682.2,696.8,709.6,729.0
CH,37,45,11585,659.1,693.2,707.6,720.3,738.9
CH,38,45,8334,670.6,704.5,719.3,732.9,748.4
CH,39,45,5686,691.5,717.4,732.0,746.0,763.8
CH,40,45,3485,696.5,731.4,746.6,759.7,775.6
CH,41,45,1898,721.5,746.5,763.2,775.6,792.8
CH,42,45,813,743.9,763.7,780.9,795.5,809.5
CH,43,45,291,761.3,788.2,802.2,814.9,823.0
CH,44,45,57,793.7,805.0,829.9,834.3,840.8
CH,45,45,15,856.4,856.4,856.4,856.4,856.4
CN,0,42,586,0.0,0.0,0.0,324.2,324.2
CN,1,42,205,324.2,324.3,327.3,345.5,354.5
CN,2,42,927,324.2,325.1,335.0,357.1,377.0
CN,3,42,3862,324.3,327.6,346.1,370.7,403.5
CN,4,42,11758,324.3,330.8,354.5,383.3,427.5
CN,5,42,28129,324.6,336.6,366.0,398.5,445.1
CN,6,42,56946,325.0,345.9,378.1,413.9,460.2
CN,7,42,97762,325.4,355.3,391.8,430.9,477.3
CN,8,42,148301,325.7,365.7,407.0,447.8,494.5
CN,9,42,199291,327.5,378.4,423.4,464.5,512.2
CN,10,42,243888,327.4,392.9,441.0,480.3,526.1
CN,11,42,272601,330.8,409.1,458.7,495.2,537.8
CN,12,42,285672,332.1,427.0,476.5,509.5,551.8
CN,13,42,277961,339.1,445.9,493.3,523.1,561.4
CN,14,42,256845,338.8,465.5,509.0,536.0,572.0
CN,15,42,227843,347.9,484.8,523.8,548.5,586.2
CN,16,42,194995,348.9,503.1,537.8,560.4,595.0
CN,17,42,162590,380.5,520.7,551.2,571.8,606.1
CN,18,42,132645,396.6,536.7,563.8,582.7,616.8
CN,19,42,106345,427.7,551.7,575.6,593.1,627.5
CN,20,42,85383,446.4,565.6,586.7,603.3,633.1
CN,21,42,68617,496.6,578.2,597.2,613.3,639.7
CN,22,42,54495,451.7,589.6,607.5,622.9,645.6
CN,23,42,44624,541.0,600.5,617.2,632.5,654.9
CN,24,42,35960,509.1,610.8,626.8,641.6,662.3
CN,25,42,29173,566.3,620.5,636.3,650.2,668.1
CN,26,42,24051,596.6,629.8,645.6,658.6,678.8
CN,27,42,19866,593.6,639.3,654.9,667.1,686.6
CN,28,42,16723,609.9,649.1,664.0,675.9,697.9
CN,29,42,13849,632.1,658.4,672.8,684.4,703.2
CN,30,42,11708,640.7,668.3,682.0,693.5,718.0
CN,31,42,9904,645.9,678.1,691.0,702.5,727.7
CN,32,42,8373,656.0,687.7,700.4,711.8,730.4
CN,33,42,7006,670.3,697.7,710.2,721.5,742.3
CN,34,42,5845,683.4,707.9,720.0,731.6,752.5
CN,35,42,4990,695.1,718.8,730.9,742.7,765.9
CN,36,42,3844,706.8,730.5,742.1,753.9,775.7
CN,37,42,3033,728.4,742.0,753.5,768.3,795.1
CN,38,42,2182,734.1,754.3,766.9,783.5,803.5
CN,39,42,1436,756.8,767.0,781.7,800.3,819.3
CN,40,42,773,771.3,782.3,803.9,820.2,830.8
CN,41,42,312,792.1,811.1,824.2,840.4,841.8
CN,42,42,83,852.4,852.4,858.7,858.7,858.7
MT,0,43,883,0.0,0.0,0.0,315.0,315.0
MT,1,43,804,315.0,315.1,318.3,343.8,367.5
MT,2,43,3739,315.0,315.9,326.6,355.5,399.1
MT,3,43,12933,315.1,317.5,336.2,371.4,429.3
MT,4,43,33644,315.2,322.1,347.2,387.3,453.7
MT,5,43,69790,315.4,327.4,358.3,404.6,477.1
MT,6,43,120364,315.7,334.5,371.9,422.7,498.8
MT,7,43,176681,315.9,342.0,386.2,441.7,522.1
MT,8,43,224888,316.2,351.7,403.1,461.7,540.0
MT,9,43,256068,317.8,362.8,421.9,482.4,553.6
MT,10,43,264419,319.3,376.6,443.3,503.2,569.6
MT,11,43,253985,319.7,393.7,467.0,524.1,587.9
MT,12,43,230192,321.8,415.3,492.7,544.3,599.3
MT,13,43,200993,326.5,441.0,517.7,563.9,612.6
MT,14,43,171949,328.2,471.2,541.5,582.0,631.1
MT,15,43,145823,337.2,503.2,563.8,599.1,642.5
MT,16,43,124744,349.5,533.1,584.2,615.0,650.8
MT,17,43,106742,365.1,560.0,603.1,629.8,668.5
MT,18,43,93386,364.7,583.1,619.6,643.8,676.1
MT,19,43,80934,367.9,604.1,635.6,657.1,690.0
MT,20,43,71591,432.9,622.6,650.1,669.9,698.8
MT,21,43,63383,480.8,639.3,663.8,682.3,711.8
MT,22,43,56447,510.2,654.8,676.7,694.2,722.1
MT,23,43,50186,590.3,669.0,689.0,705.9,729.0
MT,24,43,44545,612.8,682.4,701.0,717.2,740.3
MT,25,43,39771,625.6,695.0,712.5,728.3,749.0
MT,26,43,35448,637.7,707.0,724.0,739.1,759.6
MT,27,43,31921,678.8,719.0,735.4,749.8,768.4
MT,28,43,28320,678.8,730.3,746.6,760.2,778.5
MT,29,43,25151,706.8,741.9,757.9,771.2,791.9
MT,30,43,22442,707.2,753.5,769.2,782.1,810.6
MT,31,43,19919,728.1,765.2,780.9,793.3,818.5
MT,32,43,17995,743.7,777.9,792.9,805.4,825.4
MT,33,43,16050,762.0,790.1,804.8,817.7,840.5
MT,34,43,13859,770.9,803.0,817.5,830.9,857.2
MT,35,43,11902,786.8,816.3,831.1,845.3,868.2
MT,36,43,10361,803.8,829.9,845.0,859.8,880.1
MT,37,43,8749,812.4,844.3,859.4,875.0,897.2
MT,38,43,6794,833.4,859.1,875.1,891.2,911.2
MT,39,43,5256,848.2,875.6,892.9,908.6,925.1
MT,40,43,3826,866.4,893.2,910.8,926.3,938.0
MT,41,43,2533,886.0,914.4,931.2,943.6,949.1
MT,42,43,1399,920.8,940.1,948.8,959.3,959.3
MT,43,43,573,967.7,967.7,967.7,980.3,980.3
