ano,area,n_itens,b_medio,b_mediana,b_dp,a_medio
2010,CH,42,1.2099,1.1509,0.9100,1.7320
2011,CH,45,0.4073,0.3995,0.7566,2.0982
2012,CH,45,1.1544,1.0290,0.9043,1.7299
2013,CH,44,1.3410,1.1183,0.9492,1.6394
2014,CH,45,1.2015,1.2097,0.6809,2.0877
2015,CH,45,1.2335,1.2222,0.5717,2.4000
2016,CH,44,1.2582,1.1474,0.8572,2.0621
2017,CH,44,1.1956,0.9676,0.6992,2.2108
2019,CH,43,0.9621,1.0184,0.5935,2.1348
2020,CH,119,1.1115,1.1820,0.6824,2.3792
2021,CH,45,1.1008,1.0775,0.6664,2.1703
2022,CH,89,0.9349,0.8245,0.7945,2.0760
2023,CH,90,0.6624,0.5610,0.7185,2.2265
2024,CH,89,0.7518,0.7207,0.7391,2.2239
2010,CN,41,1.0801,1.1991,0.9697,2.1251
2011,CN,44,1.1484,1.0976,1.2274,1.8101
2012,CN,45,1.1958,1.1580,0.7868,2.1802
2013,CN,45,1.6484,1.7126,0.9023,2.3826
2014,CN,43,1.4431,1.3958,0.6931,2.2693
2015,CN,44,1.4816,1.4359,0.8924,2.2339
2016,CN,45,1.4822,1.4549,0.5348,2.3294
2017,CN,45,1.6012,1.6207,0.6674,2.7481
2019,CN,43,1.3422,1.3767,0.8503,2.3470
2020,CN,125,1.2414,1.2798,0.6660,2.5313
2021,CN,44,1.4434,1.5734,0.8200,2.2637
2022,CN,87,1.4140,1.4654,0.7186,2.1120
2023,CN,94,1.4036,1.5716,0.7884,2.3718
2024,CN,94,1.2736,1.2885,0.7566,2.1440
2010,LC,47,0.6415,0.6763,0.7902,2.0879
2011,LC,50,0.6024,0.5205,0.5290,2.2992
2012,LC,50,0.8169,0.7890,0.7022,1.8154
2013,LC,50,0.7456,0.6753,0.8708,1.8203
2014,LC,49,0.8965,0.6772,0.9723,2.4185
2015,LC,49,0.8480,0.6787,0.8632,2.3500
2016,LC,48,1.1875,1.0918,0.6471,2.2645
2017,LC,50,0.7340,0.6529,0.7158,2.3556
2019,LC,49,0.7513,0.6816,0.6411,2.7789
2020,LC,118,0.9377,0.8890,0.7754,2.1115
2021,LC,48,0.9415,0.7714,0.9452,2.0094
2022,LC,104,0.7644,0.6823,0.7712,1.9496
2023,LC,102,0.6794,0.6727,0.6941,2.0284
2024,LC,100,0.6960,0.6464,0.7021,2.3409
2010,MT,42,1.7319,1.6059,0.9969,2.0431
2011,MT,45,1.5658,1.6653,0.7706,2.0920
2012,MT,45,1.3880,1.4060,1.0162,2.0234
2013,MT,43,1.7747,1.8632,0.9017,2.2515
2014,MT,43,1.9041,1.9610,1.0723,1.8526
2015,MT,44,2.1897,2.1373,1.2602,1.8461
2016,MT,44,2.0148,1.9549,0.9183,1.7502
2017,MT,44,2.2083,2.1162,0.9637,1.9595
2019,MT,43,1.9545,1.9529,0.7903,2.4571
2020,MT,123,1.8361,1.8847,0.6976,2.2013
2021,MT,44,1.8796,1.7808,0.8363,2.0159
2022,MT,92,2.0253,2.0756,0.8118,1.9116
2023,MT,93,1.7162,1.7875,0.8483,2.1689
2024,MT,95,1.8058,1.7841,0.6990,2.2918
